Depth	Year	MagSusinv
0.3	1999.011364	-0.00000672
0.8	1997.363636	-0.00000673
1.3	1995.715909	-0.00000695
1.8	1994.068182	-0.00000694
2.3	1992.420455	-0.00000689
2.8	1990.772727	-0.00000681
3.3	1989.125	-0.00000686
3.8	1987.477273	-0.00000688
4.3	1985.829546	-0.00000701
4.8	1984.181818	-0.00000696
5.3	1982.534091	-0.00000574
5.8	1980.886364	-0.00000703
6.3	1979.238637	-0.00000693
6.8	1977.590909	-0.00000712
7.3	1975.943182	-0.00000715
7.8	1974.295455	-0.00000711
8.3	1972.647728	-0.00000707
8.8	1971	-0.00000722
9.3	1968.446809	-0.00000698
9.8	1965.893617	-0.00000695
10.3	1963.340426	-0.00000679
10.8	1960.787234	-0.00000674
11.3	1958.234043	-0.00000654
11.8	1955.680851	-0.00000668
12.3	1953.12766	-0.00000652
12.8	1950.574468	-0.00000627
13.5	1947	-0.00000604
14.2	1941.68	-0.00000597
14.9	1936.36	-0.00000609
15.7	1930.28	-0.00000611
16.2	1926.48	-0.00000624
16.9	1921.16	-0.00000653
17.6	1915.84	-0.00000666
18.3	1910.52	-0.00000674
18.5	1909	-0.00000621
18.7	1905	-0.00000633
18.8	1903	-0.00000636
19	1899	-0.00000687
19.2	1895	-0.00000667
19.4	1891	-0.00000706
20	1879	-0.00000728
20.2	1875	-0.00000714
20.4	1871	-0.00000701
20.6	1867	-0.00000789
20.8	1865.060302	-0.00000777
23.2	1841.78392	-0.00000763
24.8	1826.266332	-0.0000079
25.6	1818.507538	-0.00000777
26.2	1812.688442	-0.00000729
27	1804.929648	-0.00000783
27.5	1800.080402	-0.00000777
28.1	1794.261306	-0.00000782
28.7	1788.442211	-0.00000758
29.3	1782.623115	-0.00000767
30.2	1773.894472	-0.00000751
31	1766.135678	-0.00000716
31.8	1758.376884	-0.00000714
32.7	1749.648241	-0.00000735
33.3	1743.829145	-0.00000756
35.3	1724.43216	-0.00000747
35.6	1721.522613	-0.00000781
36.1	1716.673366	-0.00000813
36.5	1712.793969	-0.00000833
36.9	1708.914572	-0.00000866
37.4	1704.065326	-0.00000925
38	1698.246231	-0.00000953
38.3	1695.336683	-0.0000102
38.7	1691.457286	-0.0000103
39.3	1685.63819	-0.00001103
39.7	1681.758793	-0.00001023
40.3	1675.939698	-0.0000098
41.8	1651.781818	-0.00001043
43.6	1621.018182	-0.00000938
45.5	1588.545455	-0.00000807
46.8	1566.327273	-0.00000862
48.3	1540.69091	-0.00000973
49.2	1525.309092	-0.00000934
50.3	1506.509092	-0.00000932
50.6	1501.381819	-0.000009
51	1494.545456	-0.00000877
51.4	1487.709092	-0.00000818
51.8	1480.872728	-0.00000809
52.2	1474.036365	-0.00000802
52.4	1470.618183	-0.00000751
52.6	1467.200001	-0.00000708
53	1460.363638	-0.00000692
53.7	1448.400001	-0.00000708
54.5	1434.727274	-0.00000741
55.4	1419.345456	-0.0000073
56.2	1405.672729	-0.00000774
57	1392.000002	-0.00000783
57.8	1378.327274	-0.0000084
58.7	1362.945456	-0.00000868
59.4	1350.98182	-0.00000912
60.2	1337.309093	-0.0000091
61.1	1321.927275	-0.00000914
62	1306.545457	-0.00000874
62.7	1294.58182	-0.0000085
63.6	1279.200002	-0.00000826
64.3	1267.236366	-0.00000815
65	1255.27273	-0.0000082
65.8	1241.600002	-0.00000811
66.6	1227.927275	-0.00000824
67.5	1212.545457	-0.00000816
68.3	1198.87273	-0.00000704
69	1186.909094	-0.0000084
69.9	1171.527275	-0.00000868
70.7	1157.854548	-0.00000805
71.6	1142.47273	-0.00000842
72.4	1128.800003	-0.00000847
73.5	1110.000003	-0.00000796
74.2	1098.036367	-0.00000812
75	1084.36364	-0.0000081
75.8	1070.690912	-0.00000825
76.8	1053.600003	-0.00000826
77.4	1043.345458	-0.00000843
78.4	1026.254549	-0.00000593
79.2	1012.581822	-0.00000866
79.8	1002.327276	-0.00000838
80.7	986.9454582	-0.00000755
81.5	973.272731	-0.00000577
82.3	959.6000038	-0.00000649
83	947.6363675	-0.00000571
83.9	932.2545494	-0.00000508
84.7	918.5818222	-0.00000478
85.6	903.2000041	-0.00000457
86.3	891.2363678	-0.00000445
87.1	877.5636406	-0.00000468
88	862.1818225	-0.00000494
88.7	850.2181862	-0.00000545
89.6	834.8363681	-0.0000072
90.5	819.45455	-0.00000927
91.2	807.4909137	-0.00000932
92.2	790.4000047	-0.00000726
93.2	773.3090957	-0.00000747
93.9	761.3454594	-0.00000845
94.8	745.9636413	-0.00000928
95.7	730.5818232	-0.0000093
96.6	715.2000051	-0.00000601
97.5	699.818187	-0.00000622
98.3	686.1454598	-0.00000665
99	674.1818235	-0.00000684
99.9	658.8000054	-0.00000787
100.8	643.4181873	-0.00000844
101.6	629.7454601	-0.00000918
102.4	616.0727329	-0.00000892
103.1	604.1090966	-0.00000913
104	588.7272785	-0.00000538
104.9	573.3454604	-0.00000531
105.8	557.9636423	-0.00000528
106.6	544.2909151	-0.00000537
107.4	530.6181879	-0.00000573
108.4	513.5272789	-0.00000675
109.4	496.4363699	-0.00000561
110.3	481.0545518	-0.00000666
111.2	465.6727337	-0.00000685
112	452	-0.00000658
