Depth	2sigmadepth	Year	1sigma	
0	0	1993.6	0	
10.5	0.5	1989	0	
16.5	0.5	1982	0	
30.5	0.5	1969	0	
49.5	0.5	1958	4	
73.5	0.5	1940	8	
113.5	0.5	1890	35	
164	14	1834	88	
362	12	1574	63	
386	12	1434	27	
419.5	0.5	1376	40	
496	10	1256	31	
508	2	1102	66	
540	2	1222	45	
544	2	948	62	
564	2	1009	40	
564	2	1001	40	
597	5	905	72	
764	10	580	46	
814	8	225	65	
