Depth	Year	1sigma
0	1978	0.77
6	1972	0.98
13	1965	1.225
20	1958	1.47
27	1951	1.715
28	1950	1.75
33	1945	1.925
40	1938	2.17
47	1931	2.415
53	1925	2.625
62	1916	2.94
69	1909	3.185
70	1908	3.22
76	1902	3.43
82	1896	3.64
87	1891	3.815
89	1889	3.885
93	1885	4.025
94	1884	4.06
99	1879	4.235
100	1878	4.27
105	1873	4.445
107	1871	4.515
111	1867	4.655
112	1866	4.69
124	1854	5.11
126	1852	5.18
131	1847	5.355
132	1846	5.39
138	1840	5.6
144	1834	5.81
145	1833	5.845
148	1830	5.95
152	1826	6.09
153	1825	6.125
158	1820	6.3
159	1819	6.335
163	1815	6.475
164	1814	6.51
169	1809	6.685
170	1808	6.72
176	1802	6.93
177	1801	6.965
183	1795	7.175
184	1794	7.21
191	1787	7.455
197	1781	7.665
199	1779	7.735
205	1773	7.945
213	1765	8.225
217	1761	8.365
219	1759	8.435
226	1752	8.68
233	1745	8.925
236	1742	9.03
240	1738	9.17
248	1730	9.45
250	1728	9.52
253	1725	9.625
258	1720	9.8
260	1718	9.87
267	1711	10.115
269	1709	10.185
270	1708	10.22
278	1700	10.5
279	1699	10.535
286	1692	10.78
289	1689	10.885
294	1684	11.06
295	1683	11.095
298	1680	11.2
300	1678	11.27
301	1677	11.305
304	1674	11.41
309	1669	11.585
315	1663	11.795
322	1656	12.04
328	1650	12.25
336	1642	12.53
344	1634	12.81
351	1627	13.055
360	1618	13.37
369	1609	13.685
377	1601	13.965
384	1594	14.21
394	1584	14.56
402	1576	14.84
411	1567	15.155
420	1558	15.47
430	1548	15.82
438	1540	16.1
449	1529	16.485
459	1519	16.835
468	1510	17.15
474	1504	17.36
481	1497	17.605
487	1491	17.815
494	1484	18.06
501	1477	18.305
510	1468	18.62
516	1462	18.83
524	1454	19.11
533	1445	19.425
542	1436	19.74
549	1429	19.985
558	1420	20.3
566	1412	20.58
573	1405	20.825
578	1400	21
587	1391	21.315
595	1383	21.595
604	1374	21.91
609	1369	22.085
616	1362	22.33
625	1353	22.645
634	1344	22.96
642	1336	23.24
650	1328	23.52
658	1320	23.8
666	1312	24.08
674	1304	24.36
679	1299	24.535
684	1294	24.71
691	1287	24.955
700	1278	25.27
708	1270	25.55
